Buckets,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1,,0.36,0.23,0.3,0.3,0.07,0.32,0.02,0.26,0.2,0.17,0.15,0.21,0.15,0.19,0,0.24
2,0.36,,0.93,0.94,0.88,0.16,0.21,0.09,0.21,0.2,0.4,0.3,0.24,0.29,0.23,0,0.56
3,0.23,0.93,,0.91,0.85,0.06,0.21,0.04,0.21,0.19,0.33,0.23,0.14,0.23,0.25,0,0.5
4,0.3,0.94,0.91,,0.83,0.06,0.24,0.04,0.21,0.17,0.36,0.25,0.14,0.25,0.2,0,0.53
5,0.3,0.88,0.85,0.83,,0.1,0.17,0.04,0.16,0.17,0.4,0.12,0.25,0.3,0.19,0,0.53
6,0.07,0.16,0.06,0.06,0.1,,0.27,0.5,0.2,0.04,0.17,0.12,0.12,0.08,0.14,0,0.25
7,0.32,0.21,0.21,0.24,0.17,0.27,,0.27,0.61,0.18,0.06,0.09,0.12,0.08,0.08,0,0.22
8,0.02,0.09,0.04,0.04,0.04,0.5,0.27,,0.19,0,0.12,0.07,0.09,0.05,0.07,0,0.14
9,0.26,0.21,0.21,0.21,0.16,0.2,0.61,0.19,,0.14,0.13,0.07,0.07,0.06,0.12,0,0.19
10,0.2,0.2,0.19,0.17,0.17,0.04,0.18,0,0.14,,0.11,0.27,0.07,0.06,0.06,0,0.11
11,0.17,0.4,0.33,0.36,0.36,0.17,0.06,0.12,0.13,0.11,,0.15,0.27,0.21,0.2,0,0.37
12,0.15,0.3,0.23,0.25,0.25,0.08,-0.11,-0.03,-0.07,0.13,0.31,,0.15,0.19,0.1,0,0.23
13,0.21,0.24,0.14,0.14,0.14,0.12,0.12,0.09,0.07,0.07,0.27,0.15,,0.28,0.2,0,0.27
14,0.15,0.29,0.23,0.25,0.25,0.08,0.08,0.05,0.06,0.06,0.21,0.19,0.28,,0.15,0,0.25
15,0.19,0.23,0.25,0.2,0.2,0.14,0.08,0.07,0.12,0.06,0.2,0.1,0.2,0.15,,0,0.23
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
17,0.24,0.56,0.5,0.53,0.53,0.25,0.22,0.14,0.19,0.11,0.37,0.23,0.27,0.25,0.23,0,
,,,,, ,,,,,,,,,,,,
