Buckets,Credit Risk Group,Concentration threshold (USD mm/ bp)
1,Emerging Markets - Large Cap,9
2,Emerging Markets - Large Cap,9
3,Emerging Markets - Large Cap,9
4,Emerging Markets - Large Cap,9
5,Developed Markets - Large Cap,18
6,Developed Markets - Large Cap,18
7,Developed Markets - Large Cap,18
8,Developed Markets - Large Cap,18
9,Emerging Markets - Small Cap,1.2
10,Developed Markets - Small Cap,0.9
11,"Indexes, Funds, ETFs, Volatility Indexes",1300
12,"Indexes, Funds, ETFs, Volatility Indexes",1300
Residual,Not classified,0.9
